City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
itacare,36,BR,1586892204,65,-14.28,-39.0,82.27,7.23
acajutla,40,SV,1586892204,52,13.59,-89.83,89.6,3.36
rikitea,40,PF,1586892204,70,-23.12,-134.97,75.76,8.3
peace river,75,CA,1586892204,56,56.25,-117.29,44.6,5.82
zaozerne,100,UA,1586892204,80,45.16,33.28,52.14,20.74
piranhas,95,BR,1586892204,54,-16.43,-51.82,86.45,2.35
cangzhou,20,CN,1586892204,44,38.32,116.87,59.41,10.22
jamestown,1,US,1586892205,34,42.1,-79.24,44.01,4.7
haines junction,45,CA,1586892205,62,60.75,-137.51,36.5,1.41
nikolskoye,75,RU,1586892205,100,59.7,30.79,35.01,8.95
hasaki,20,JP,1586892205,69,35.73,140.83,39.2,3.36
cape town,0,ZA,1586892161,87,-33.93,18.42,63.0,11.41
kabompo,22,ZM,1586892205,60,-13.59,24.2,68.09,2.15
busselton,54,AU,1586892205,61,-33.65,115.33,53.01,16.13
hobart,94,AU,1586892019,87,-42.88,147.33,59.0,1.12
englewood,20,US,1586892206,32,39.65,-104.99,44.6,3.36
leningradskiy,93,RU,1586892206,90,69.38,178.42,5.61,4.12
san andres,40,CO,1586892206,66,12.58,-81.7,87.8,14.99
san quintin,56,MX,1586892206,66,30.48,-115.95,64.51,9.91
yellowknife,90,CA,1586892206,79,62.46,-114.35,30.99,4.7
bilibino,58,RU,1586892207,85,68.05,166.44,1.38,1.72
shelburne,75,CA,1586892207,45,44.08,-80.2,43.0,16.11
coihaique,67,CL,1586892207,58,-45.58,-72.07,57.2,5.82
kichera,0,RU,1586892207,59,55.94,110.1,34.23,5.21
punta arenas,75,CL,1586892237,66,-53.15,-70.92,53.6,17.22
muroto,61,JP,1586892237,55,33.28,134.15,55.83,7.23
darhan,30,MN,1586892237,60,49.49,105.92,34.7,8.81
puerto guzman,10,CO,1586892237,43,0.97,-76.59,90.27,4.16
albany,75,US,1586892005,29,42.6,-73.97,53.01,14.99
ukiah,1,US,1586892237,26,39.15,-123.21,75.99,3.36
isangel,90,VU,1586892238,94,-19.55,169.27,75.2,11.7
ushuaia,100,AR,1586892099,61,-54.8,-68.3,50.0,5.97
college,75,US,1586892238,60,64.86,-147.8,42.8,10.29
lompoc,1,US,1586892187,72,34.64,-120.46,73.0,5.82
los andes,19,CL,1586892238,21,-32.83,-70.6,82.0,10.29
namibe,1,AO,1586892239,71,-15.2,12.15,74.39,9.86
bud,40,US,1586892239,33,39.45,-86.18,46.0,8.05
aden,32,YE,1586892239,74,12.78,45.04,83.25,14.45
bethel,75,US,1586892262,34,41.37,-73.41,57.99,12.75
luderitz,10,NA,1586892262,77,-26.65,15.16,60.8,16.11
hermanus,1,ZA,1586892262,87,-34.42,19.23,55.99,8.9
bredasdorp,0,ZA,1586892262,87,-34.53,20.04,55.99,1.12
puerto escondido,40,MX,1586892015,74,15.85,-97.07,80.6,8.05
saint-philippe,19,RE,1586892263,78,-21.36,55.77,78.8,3.36
cabo san lucas,5,MX,1586892221,47,22.89,-109.91,84.0,10.29
saskylakh,99,RU,1586892263,91,71.92,114.08,0.63,16.93
avarua,82,CK,1586892177,65,-21.21,-159.78,78.8,5.82
airai,94,TL,1586892286,68,-8.93,125.41,60.8,2.13
camacha,20,PT,1586892309,59,33.08,-16.33,66.2,23.04
nioro,92,GM,1586892309,15,13.35,-15.75,97.63,11.99
anito,2,PH,1586892309,82,12.45,125.29,77.88,6.24
kaitangata,80,NZ,1586892309,74,-46.28,169.85,42.01,1.99
